id,Nombre
MXAGU,Aguascalientes
MXBCN,Baja California
MXBCS,Baja California Sur
MXCAM,Campeche
MXCOA,Coahuila
MXCOL,Colima
MXCHP,Chiapas
MXCHH,Chihuahua
MXCMX,Ciudad de México
MXDUR,Durango
MXGUA,Guanajuato
MXGRO,Estado de Guerrero
MXHID,Estado de Hidalgo
MXJAL,Jalisco
MXMEX,México
MXMIC,Michoacán
MXMOR,Morelos
MXNAY,Nayarit
MXNLE,Nuevo León
MXOAX,Oaxaca
MXPUE,Puebla
MXQUE,Querétaro
MXROO,Quintana Roo
MXSLP,San Luis Potosí
MXSIN,Sinaloa
MXSON,Sonora
MXTAB,Tabasco
MXTAM,Tamaulipas
MXTLA,Tlaxcala
MXVER,Estado de Veracruz
MXYUC,Yucatán
MXZAC,Zacatecas
